block,lot,neighborhood,price_diff,date_diff
86,11,DOWNTOWN-METROTECH,89.81818181818181,777600
86,11,DOWNTOWN-METROTECH,102.17391304347827,172800
86,11,DOWNTOWN-METROTECH,15.591397849462375,86400
86,11,DOWNTOWN-METROTECH,32.649253731343286,1382400
86,11,DOWNTOWN-METROTECH,16.736990154711684,345600
86,11,DOWNTOWN-METROTECH,2.473498233215543,1123200
86,11,DOWNTOWN-METROTECH,86.20689655172413,2073600
86,11,DOWNTOWN-METROTECH,108.47457627118646,3024000
86,11,DOWNTOWN-METROTECH,33.33333333333333,864000
86,11,DOWNTOWN-METROTECH,2.6936026936027035,345600
86,11,DOWNTOWN-METROTECH,74.59016393442623,172800
86,11,DOWNTOWN-METROTECH,172.22222222222223,86400
86,11,DOWNTOWN-METROTECH,37.86923103436391,691200
86,11,DOWNTOWN-METROTECH,37.5,1900800
86,11,DOWNTOWN-METROTECH,196.72131147540983,86400
86,11,DOWNTOWN-METROTECH,27.85234899328859,172800
86,11,DOWNTOWN-METROTECH,82.41469816272966,518400
86,11,DOWNTOWN-METROTECH,153.7313432835821,86400
86,11,DOWNTOWN-METROTECH,45.64564564564564,691200
86,11,DOWNTOWN-METROTECH,62.88659793814433,0
86,11,DOWNTOWN-METROTECH,17.391304347826097,1728000
86,11,DOWNTOWN-METROTECH,53.46534653465347,0
86,11,DOWNTOWN-METROTECH,90.990990990991,86400
86,11,DOWNTOWN-METROTECH,41.320754716981135,432000
86,11,DOWNTOWN-METROTECH,5.3043478260869525,604800
86,11,DOWNTOWN-METROTECH,43.40425531914893,518400
86,11,DOWNTOWN-METROTECH,63.20474777448071,86400
86,11,DOWNTOWN-METROTECH,21.090909090909093,259200
86,11,DOWNTOWN-METROTECH,43.715846994535525,1382400
86,11,DOWNTOWN-METROTECH,141.21915820029028,2937600
86,11,DOWNTOWN-METROTECH,2.7316486161251596,3542400
86,11,DOWNTOWN-METROTECH,204,86400
86,11,DOWNTOWN-METROTECH,188.13559322033896,259200
86,11,DOWNTOWN-METROTECH,50.15015015015014,864000
86,11,DOWNTOWN-METROTECH,56.71641791044777,950400
86,11,DOWNTOWN-METROTECH,107.95454545454545,1209600
86,11,DOWNTOWN-METROTECH,19.10112359550562,432000
86,11,DOWNTOWN-METROTECH,0.9433962264151052,1900800
86,11,DOWNTOWN-METROTECH,4.615384615384621,432000
86,11,DOWNTOWN-METROTECH,0.04901960784313708,1468800
86,11,DOWNTOWN-METROTECH,152.8735632183908,864000
86,11,DOWNTOWN-METROTECH,183,1209600
86,11,DOWNTOWN-METROTECH,69.81113207547169,1296000
86,11,DOWNTOWN-METROTECH,147.05882352941177,86400
86,11,DOWNTOWN-METROTECH,103.48837209302326,518400
86,11,DOWNTOWN-METROTECH,121.21212121212119,518400
86,11,DOWNTOWN-METROTECH,0.87072018890199665,518400
86,11,DOWNTOWN-METROTECH,30.21214337966349,691200
86,11,DOWNTOWN-METROTECH,11.23595505617978,2505600
86,11,DOWNTOWN-METROTECH,1.3062409288824295,1123200
86,11,DOWNTOWN-METROTECH,80.51575931232091,1209600
86,11,DOWNTOWN-METROTECH,63.62654320987655,172800
86,11,DOWNTOWN-METROTECH,57.724056603773576,86400
86,11,DOWNTOWN-METROTECH,68.03738317757009,1123200
86,11,DOWNTOWN-METROTECH,62.10526315789473,1036800
86,11,DOWNTOWN-METROTECH,148.57142857142858,2246400
86,11,DOWNTOWN-METROTECH,26.95473251028806,864000
86,11,DOWNTOWN-METROTECH,54.92957746478873,0
86,11,DOWNTOWN-METROTECH,53.63636363636364,259200
86,11,DOWNTOWN-METROTECH,93.76693766937669,518400
86,11,DOWNTOWN-METROTECH,24.4055944055944,86400
86,11,DOWNTOWN-METROTECH,132.25806451612905,432000
86,11,DOWNTOWN-METROTECH,16.666666666666675,1987200
86,11,DOWNTOWN-METROTECH,20.85714285714286,86400
86,11,DOWNTOWN-METROTECH,119.58456973293767,1987200
86,11,DOWNTOWN-METROTECH,9.797297297297302,1036800
86,11,DOWNTOWN-METROTECH,8499900,172800
86,11,DOWNTOWN-METROTECH,39.99999999999999,1555200
86,11,DOWNTOWN-METROTECH,5.000000000000004,1987200
86,11,DOWNTOWN-METROTECH,143.69747899159663,259200
86,11,DOWNTOWN-METROTECH,47.63231197771587,2764800
86,11,DOWNTOWN-METROTECH,49.0566037735849,1814400
