Name,2018Ridership,Rank2018,Position
Neck Rd ,"4,405",315,POINT (-73.95507827493762 40.59532169111695)
Neptune Av ,"1,516",410,POINT (-73.97459272818807 40.580738758491464)
Nevins St ,"10,426",151,POINT (-73.98040679874578 40.68831058019022)
New Lots Av ,"5,573",268,POINT (-73.88411070800329 40.6663149325969)
New Lots Av ,"4,869",290,POINT (-73.89927796057142 40.65891477368527)
New Utrecht Av /62 St ,"4,673",302,POINT (-73.99635300025969 40.62484166725887)
Newkirk Av ,"7,312",204,POINT (-73.94829990822407 40.63999124275311)
Newkirk Plaza ,"10,534",149,POINT (-73.96269486837261 40.63514193733789)
Norwood Av ,"3,190",360,POINT (-73.87962599910783 40.68152000045683)
Nostrand Av ,"3,907",327,POINT (-73.9504262489579 40.66993815093054)
1 Av  ,"20,998",65,POINT (-73.98168087489128 40.73097497580066)
103 St,"5,444",272,POINT (-73.96137008267617 40.796060739904526)
103 St ,"12,569",122,POINT (-73.96837899960818 40.799446000334825)
103 St ,"13,285",114,POINT (-73.94747800152219 40.79060000008452)
110 St,"10,851",142,POINT (-73.94424999687163 40.795020000113105)
116 St,"10,707",147,POINT (-73.94962500096905 40.802097999133004)
116 St,"14,715",100,POINT (-73.9416169983714 40.7986290002001)
116 St,"7,613",198,POINT (-73.95479778057312 40.80505813344211)
116 St-Columbia University,"15,079",97,POINT (-73.96410999757751 40.807722001230864)
125 St,"7,679",195,POINT (-73.95837200097044 40.815580999978934)
125 St,"14,746",99,POINT (-73.94549500011411 40.807753999182815)
125 St,"27,605",37,POINT (-73.93759400055725 40.804138000587244)
125 St,"27,677",35,POINT (-73.95224799734774 40.811071672994565)
135 St,"14,343",106,POINT (-73.94077000106708 40.8142290003391)
135 St,"5,490",270,POINT (-73.94753480879213 40.817905559212676)
137 St-City College,"13,371",112,POINT (-73.95367600087873 40.82200799968475)
14 St /6 Av,"48,508",16,POINT (-73.99620899921355 40.73822799969515)
14 St /8 Av,"44,031",18,POINT (-74.00168999937027 40.740893000193296)
14 St-Union Sq,"103,572",4,POINT (-73.98995099881881 40.734673000996125)
145 St,"9,433",166,POINT (-73.95035999879713 40.82655099962194)
145 St ,"2,105",390,POINT (-73.93624499873299 40.82042099969279)
145 St ,"23,047",55,POINT (-73.94408792823116 40.824766360871905)
155 St ,"3,595",338,POINT (-73.93820899811622 40.8301349999812)
155 St ,"3,168",362,POINT (-73.94151400082208 40.83051799929251)
157 St ,"11,036",139,POINT (-73.94488999901047 40.8340410001399)
163 St-Amsterdam Av ,"1,711",407,POINT (-73.93989200188344 40.83601299923096)
168 St ,"26,138",42,POINT (-73.93956099985425 40.84071899990795)
175 St ,"12,580",121,POINT (-73.93970399761596 40.84739100072403)
18 St ,"8,860",172,POINT (-73.99787100060406 40.741039999802105)
181 St ,"11,342",135,POINT (-73.9335959996056 40.84950499974065)
181 St ,"10,760",146,POINT (-73.93796900205011 40.851694999744616)
190 St ,"4,574",306,POINT (-73.93417999964333 40.85902199892482)
191 St ,"8,032",189,POINT (-73.92941199742039 40.85522500175836)
2 Av ,"15,995",87,POINT (-73.98993800003434 40.72340166574911)
207 St ,"6,349",241,POINT (-73.91881900132312 40.864614000525854)
215 St ,"1,787",404,POINT (-73.91527899954356 40.86944399946045)
23 St ,"15,470",93,POINT (-73.9956570016487 40.74408099989751)
23 St ,"31,597",31,POINT (-73.98659900207888 40.739864000474604)
23 St ,"24,397",50,POINT (-73.99804100117201 40.74590599939995)
23 St ,"18,416",76,POINT (-73.99276500471389 40.742954317826005)
23 St ,"26,381",40,POINT (-73.98934400102907 40.74130266729)
28 St ,"14,797",98,POINT (-73.99336500134324 40.74721499918219)
28 St ,"12,019",129,POINT (-73.98426400110407 40.743069999259035)
28 St ,"14,302",107,POINT (-73.98869800128737 40.74545399979951)
3 Av ,"6,749",229,POINT (-73.98575000112093 40.73269099971662)
33 St ,"32,608",30,POINT (-73.98207600148947 40.74608099909145)
34 St-Herald Square ,"126,576",3,POINT (-73.9879368338264 40.74964456009442)
34 St-Hudson Yards,"10,789",145,POINT (-74.00219709442206 40.75544635961596)
34 St-Penn Station  ,"85,180",6,POINT (-73.99105699913983 40.75037300003949)
34 St-Penn Station  ,"80,346",7,POINT (-73.99339099970578 40.752287000775894)
42 St-Bryant Pk /5 Av,"55,872",12,POINT (-73.98459099904711 40.754184001312545)
47-50 Sts-Rockefeller Center ,"61,027",11,POINT (-73.98133100227702 40.75864100159815)
49 St ,"25,911",44,POINT (-73.98420956591096 40.759801973870694)
5 Av-53 St ,"27,612",36,POINT (-73.9752485052734 40.76008683231326)
5 Av-59 St ,"16,638",81,POINT (-73.97334700047045 40.764810999755284)
50 St ,"26,268",41,POINT (-73.98384899986625 40.76172799961419)
50 St ,"19,757",69,POINT (-73.98598400026407 40.76245599925997)
57 St  ,"7,638",197,POINT (-73.97736800085171 40.76408500081713)
57 St-7 Av ,"37,870",24,POINT (-73.98072973372128 40.76456552501829)
59 St-Columbus Circle ,"73,003",8,POINT (-73.98164872301398 40.768249531776064)
66 St-Lincoln Center ,"22,890",56,POINT (-73.98220899995783 40.77344000052039)
68 St-Hunter College ,"22,757",57,POINT (-73.96387000158042 40.76814100049679)
7 Av ,"17,947",77,POINT (-73.98025117900944 40.66624469001985)
72 St ,"39,477",23,POINT (-73.976336575218 40.77551939729258)
72 St ,"4,472",310,POINT (-73.98197000159583 40.77845300068614)
72 St ,"30,253",33,POINT (-73.95836178682246 40.76880251014895)
77 St ,"25,369",47,POINT (-73.95987399886047 40.77362000074615)
79 St ,"15,175",95,POINT (-73.97991700056134 40.78393399959032)
